Open,High,Low,Close,Adj Close,Volume,MA_50,MA_200,MA,std,Upper_BB,Lower_BB,RSI,Volatility,Price_vs_MA50
339.7900085449219,347.4200134277344,339.6499938964844,346.07000732421875,344.7315368652344,28158800,327.64500305175784,304.9262006378174,331.43250427246096,5.6904616993358905,342.81342767113273,320.0515808737892,62.084613143279185,0.24764384140962376,18.42500427246091
347.239990234375,348.8299865722656,344.7699890136719,348.32000732421875,346.97283935546875,24348100,328.0714031982422,305.5235506439209,332.88050537109376,6.124814219633301,345.13013381036035,320.6308769318272,67.01370238849945,0.24751556342843894,20.248604125976556
349.6300048828125,354.3900146484375,347.3299865722656,352.79998779296875,351.43548583984375,23624000,328.7280029296875,306.10870056152345,334.1575042724609,7.417386830591001,348.9922779336429,319.3227306112789,66.77760270472626,0.23802324896582958,24.071984863281273
353.45001220703125,357.5400085449219,353.3500061035156,356.5299987792969,355.15106201171875,23828300,329.39900268554686,306.6988005828857,335.49300384521484,8.859661301010277,353.2123264472354,317.7736812431943,69.34998969555306,0.23882751156496862,27.130996093750014
359.3999938964844,362.4599914550781,357.6300048828125,360.5299987792969,359.1356201171875,25833900,330.1356024169922,307.3053005981445,337.1000030517578,10.301068160778023,357.70213937331386,316.4978667302018,73.29964307335578,0.2380001311937565,30.39439636230469
361.67999267578125,363.8699951171875,360.54998779296875,363.20001220703125,361.7952880859375,26767800,330.83140258789064,307.91955062866214,338.63900299072264,11.76092070014891,362.1608443910205,315.1171615904248,73.88373505214602,0.23659295094514404,32.368609619140614
362.29998779296875,364.7900085449219,360.3599853515625,360.69000244140625,359.29498291015625,24847300,331.46940246582034,308.5439506530762,340.1155029296875,12.596524088247177,365.3085511061819,314.92245475319316,76.3312583586741,0.23830386250162713,29.220599975585912
361.489990234375,370.1000061035156,361.07000732421875,369.6700134277344,368.2402648925781,28042100,332.3076025390625,309.23265075683594,342.21250305175784,13.854310469025702,369.92112398980925,314.5038821137064,78.44353088220424,0.24219786471074342,37.36241088867189
368.2200012207031,368.4700012207031,365.8999938964844,366.67999267578125,365.2618103027344,19986500,333.06800231933596,309.86495071411133,343.914501953125,14.682581807125748,373.2796655673765,314.5493383388735,74.85900687620853,0.24486989116035518,33.61199035644529
371.010009765625,371.95001220703125,367.3500061035156,370.2699890136719,368.8379211425781,27683900,333.80240234375,310.5034006500244,345.8250015258789,15.520899684558985,376.8668008949969,314.7832021567609,72.36998208430892,0.24408044692512887,36.4675866699219
371.2799987792969,373.1300048828125,367.1099853515625,369.6700134277344,368.9876708984375,26860100,334.53820251464845,311.14155075073245,347.8030029296875,15.928196252848648,379.6593954353848,315.94661042399025,88.69950933307402,0.241892683970754,35.13181091308593
370.9599914550781,376.3500061035156,370.17999267578125,376.1700134277344,375.4756774902344,27182300,335.4634027099609,311.7824008178711,350.0455032348633,16.627281433659327,383.300066102182,316.79094036754464,89.58332790486192,0.24529549881008325,40.70661071777346
373.6099853515625,374.3699951171875,367.0,369.8500061035156,369.1673278808594,40157000,336.1750030517578,312.39085083007814,352.20450286865236,16.23096859869624,384.66644006604486,319.74256567125985,78.35481741851657,0.24853920180916655,33.67500305175781
371.2200012207031,378.8699951171875,371.0,377.44000244140625,376.7433166503906,52465100,336.96500305175783,313.0645008087158,354.6105026245117,16.2266773478037,387.0638573201191,322.1571479289043,80.64515361978081,0.2535632495749215,40.47499938964842
375.6700134277344,376.2200012207031,371.1199951171875,373.07000732421875,372.3813781738281,28423100,337.79100341796874,313.69080085754393,356.7375030517578,15.68303832206162,388.1035796958811,325.37142640763454,72.28457608385733,0.26183291009154913,35.27900390625001
378.0,379.7900085449219,374.9700012207031,377.8500061035156,377.1525573730469,23345300,338.6268035888672,314.3163008880615,358.59650268554685,15.880560938551087,390.35762456264905,326.83538080844465,73.3956515242586,0.2469382444150275,39.22320251464845
377.3299865722656,377.9700012207031,375.1400146484375,377.42999267578125,376.7333068847656,10176600,339.4014031982422,314.8804508209229,361.07350158691406,14.655255147322471,390.384011881559,331.76299129226913,70.85519434073817,0.1905907106752652,38.02858947753907
376.7799987792969,380.6400146484375,376.20001220703125,378.6099853515625,377.9111328125,22179200,340.36920288085935,315.4817507171631,363.5135009765625,13.162552950857892,389.8386068782783,337.1883950748467,69.53980057178568,0.19107801861785692,38.24078247070315
378.3500061035156,383.0,378.1600036621094,382.70001220703125,381.9936218261719,20453100,341.44200317382814,316.1114008331299,365.7830017089844,12.29096620293212,390.3649341148486,341.20106930312016,69.5882584829236,0.18253616508989892,41.25800903320311
383.760009765625,384.29998779296875,377.44000244140625,378.8500061035156,378.15069580078125,28963400,342.44600341796877,316.66785087585447,367.820002746582,10.74158779504828,389.30317833667857,346.33682715648547,63.54507559129407,0.19129436131926353,36.40400268554686
378.489990234375,380.0899963378906,375.4700012207031,378.9100036621094,378.2106018066406,30554400,343.6088037109375,317.2287508392334,369.4620025634766,9.701478482755062,388.8649595289867,350.0590455979665,66.46781341040321,0.18017002713612967,35.301199951171895
