Open,High,Low,Close,Adj Close,Volume,MA_50,MA_200,MA,std,Upper_BB,Lower_BB,RSI,Volatility,Price_vs_MA50
130.27999877929688,130.89999389648438,124.16999816894531,125.06999969482422,124.21629333496094,112117500,,,,,,,,,
126.88999938964844,128.66000366210938,125.08000183105469,126.36000061035156,125.49750518798828,89113600,,,,,,,,,
127.12999725341797,127.7699966430664,124.76000213623047,125.0199966430664,124.16663360595703,80962700,,,,,,,,,
126.01000213623047,130.2899932861328,124.88999938964844,129.6199951171875,128.73524475097656,87754700,,,,,,,,,
130.47000122070312,133.41000366210938,129.88999938964844,130.14999389648438,129.26162719726562,70790800,,,,,,,,,
130.25999450683594,131.25999450683594,128.1199951171875,130.72999572753906,129.83767700195312,63896200,,,,,,,,,
131.25,133.50999450683594,130.4600067138672,133.49000549316406,132.57882690429688,69458900,,,,,,,,,
133.8800048828125,134.25999450683594,131.44000244140625,133.41000366210938,132.49937438964844,71379600,,,,,,,,,
132.02999877929688,134.9199981689453,131.66000366210938,134.75999450683594,133.84014892578125,57809700,,,,,,,,,
134.8300018310547,137.2899932861328,134.1300048828125,135.94000244140625,135.01210021972656,63646600,,,,,,,,,
136.82000732421875,138.61000061035156,135.02999877929688,135.2100067138672,134.287109375,69672800,,,,,,,,,
134.0800018310547,136.25,133.77000427246094,135.27000427246094,134.3466796875,58280400,,,,,,,,,
135.27999877929688,138.02000427246094,134.22000122070312,137.8699951171875,136.92892456054688,80223600,,,,,,,,,
138.1199951171875,143.32000732421875,137.89999389648438,141.11000061035156,140.14682006835938,81760300,,,,,,,89.42968974176718,,
140.30999755859375,143.16000366210938,140.3000030517578,142.52999877929688,141.55712890625,66435100,,,,,,,90.1194792518005,,
140.88999938964844,142.42999267578125,138.80999755859375,141.86000061035156,140.89170837402344,65799300,,,,,,,86.66036056649519,,
143.1699981689453,144.25,141.89999389648438,143.9600067138672,142.97735595703125,54105100,,,,,,,93.24202911223466,,
143.16000366210938,147.22999572753906,143.0800018310547,145.92999267578125,144.9339141845703,70555800,,,,,,,92.31968567034978,,
144.9600067138672,145.5500030517578,142.85000610351562,143.0,142.02392578125,64015300,,,,,,,79.64932219095823,,
142.6999969482422,144.33999633789062,142.27999877929688,144.2899932861328,143.3050994873047,65874500,,,135.77899932861328,6.635884903789792,149.05076913619286,122.5072295210337,80.29493541256731,,
